restorer,detector,category,family,severity,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
wiener,patchcore,carpet,noise,3,16,0.9839746633164695,0.9660165638664466,0.9044756015140318,-3.426919564828241
restormer_deblur,patchcore,carpet,noise,3,16,0.9839746633164695,0.9660165638664466,0.966150735045705,0.007471346265332714
divide_lpres_on,patchcore,carpet,noise,3,16,0.9839746633164695,0.9660165638664466,0.9137045727600692,-2.913002639948665
divide_lpres_off,patchcore,carpet,noise,3,16,0.9839746633164695,0.9660165638664466,0.9056833067876019,-3.3596682793048993
identity,patchcore,carpet,noise,4,16,0.9839746633164695,0.9149504338844969,0.9149504338844969,0.0
wiener,patchcore,carpet,noise,4,16,0.9839746633164695,0.9149504338844969,0.9129847397978625,-0.02847831990028501
restormer_deblur,patchcore,carpet,noise,4,16,0.9839746633164695,0.9149504338844969,0.9149504338844969,0.0
divide_lpres_on,patchcore,carpet,noise,4,16,0.9839746633164695,0.9149504338844969,0.9484936226336047,0.48596252395930817
divide_lpres_off,patchcore,carpet,noise,4,16,0.9839746633164695,0.9149504338844969,0.9655042137783437,0.7324062913830929
identity,patchcore,carpet,mixed,2,16,0.9839746633164695,0.7029483875326982,0.7029483875326982,0.0
wiener,patchcore,carpet,mixed,2,16,0.9839746633164695,0.7029483875326982,0.7417827392156295,0.13818761813152122
restormer_deblur,patchcore,carpet,mixed,2,16,0.9839746633164695,0.7029483875326982,0.7071265166652188,0.014867396726046134
divide_lpres_on,patchcore,carpet,mixed,2,16,0.9839746633164695,0.7029483875326982,0.7904588847382696,0.311396138889533
divide_lpres_off,patchcore,carpet,mixed,2,16,0.9839746633164695,0.7029483875326982,0.8273395598097443,0.4426318212776508
identity,patchcore,carpet,mixed,3,16,0.9839746633164695,0.6046057394376394,0.6046057394376394,0.0
wiener,patchcore,carpet,mixed,3,16,0.9839746633164695,0.6046057394376394,0.598525082288439,-0.01602834804450803
restormer_deblur,patchcore,carpet,mixed,3,16,0.9839746633164695,0.6046057394376394,0.6053538161565266,0.001971897727516945
divide_lpres_on,patchcore,carpet,mixed,3,16,0.9839746633164695,0.6046057394376394,0.6585970907055088,0.1423188560513568
divide_lpres_off,patchcore,carpet,mixed,3,16,0.9839746633164695,0.6046057394376394,0.709738294523006,0.27712484726067266
identity,patchcore,carpet,mixed,4,16,0.9839746633164695,0.5318410409366886,0.5318410409366886,0.0
wiener,patchcore,carpet,mixed,4,16,0.9839746633164695,0.5318410409366886,0.5265658934931804,-0.011667231062672924
restormer_deblur,patchcore,carpet,mixed,4,16,0.9839746633164695,0.5318410409366886,0.5267502582071255,-0.011259465073108326
divide_lpres_on,patchcore,carpet,mixed,4,16,0.9839746633164695,0.5318410409366886,0.5740967576907113,0.09345847037787644
divide_lpres_off,patchcore,carpet,mixed,4,16,0.9839746633164695,0.5318410409366886,0.5828780278194579,0.11288031757987567
identity,padim,bottle,defocus,2,16,0.9865191025913643,0.9861414324527572,0.9861414324527572,0.0
wiener,padim,bottle,defocus,2,16,0.9865191025913643,0.9861414324527572,0.8992403825887185,-230.09775192853925
restormer_deblur,padim,bottle,defocus,2,16,0.9865191025913643,0.9861414324527572,0.9874144421387251,3.3706919235469517
